"Text";"Code"
"Classification of diseases and health-related conditions";"D"
"Chap. I: Certain infectious and parasitic diseases [DA00-DB99]";""
"Infectious intestinal diseases [DA00-DA09]";""
"Cholera";"DA00"
"Cholera caused by Vibrio cholerae";"DA000"
"Cholera caused by Vibrio cholerae eltor";"DA001"
"Cholera UNS";"DA009"
"Typhoid and paratyphoid";"DA01"
"Typhoid";"DA010"
"Paratyphoid A";"DA011"
"Paratyphoid B";"DA012"
"Paratyphoid C";"DA013"
"Paratyphoid UNS";"DA014"
"Other salmonella infections";"DA02"
"Salmonella enteritis";"DA020"
"Salmonella sepsis";"DA021"
"Localized salmonella infection";"DA022"
"Other salmonella infection";"DA028"
"Salmonella infection UNS";"DA029"
"Bacillary dysentery";"DA03"
"Dysentery caused by Shigella dysenteriae";"DA030"
"Dysentery caused by Shigella flexneri";"DA031"
"Dysentery caused by Shigella boydii";"DA032"
"Dysentery caused by Shigella sonnei";"DA033"
"Other bacillary dysentery";"DA038"
"Bacillary dysentery UNS";"DA039"
"Other bacterial intestinal infections";"DA04"
"Enteritis caused by enteropathogenic Escherichia coli infection";"DA040"
"Enteritis caused by enterotoxic Escherichia coli infection";"DA041"
"Enteritis caused by enteroinvasive Escherichia coli infection";"DA042"
"Enteritis caused by enterohaemorrhagic Escherichia coli infection";"DA043"
"Other intestinal infection with Escherichia coli";"DA044"
"Enteritis caused by Campylobacter";"DA045"
"Enteritis caused by Yersinia enterocolitica";"DA046"
"Enterocolitis caused by Clostridium difficile";"DA047"
"Other bacterial enteritis";"DA048"
"Enteritis caused by bacteria UNS";"DA049"
"Other bacterial food poisoning IKA";"DA05"
"Food poisoning caused by staphylococci";"DA050"
"Botulism";"DA051"
"Food poisoning caused by Clostridium perfringens";"DA052"
"Food poisoning caused by Vibrio parahaemolyticus";"DA053"
"Food poisoning caused by Bacillus cereus";"DA054"
"Other bacterial food poisoning";"DA058"
"Bacterial food poisoning UNS";"DA059"
"Amoebic dysentery";"DA06"
"Acute amoebic dysentery";"DA060"
"Chronic intestinal amoeba infection";"DA061"
"Colitis caused by amoebic infection";"DA062"
"Ameboma in intestine";"DA063"
"Amoeba UNS";"DA063A"
"Liver abscess caused by amoebic infection";"DA064"
"Lung abscess caused by amoebic infection";"DA065"
"Brain abscess caused by amoebic infection";"DA066"
"Amoebiasis of the skin";"DA067"
"Amoeba infection with other localization";"DA068"
"Appendicitis caused by amoebic infection";"DA068A"
"Amoeba infection UNS";"DA069"
"Other intestinal diseases caused by protozoa";"DA07"
"Balanthidiasis";"DA070"
"Giardiasis";"DA071"
"Cryptosporidiosis";"DA072"
"Isosporiasis";"DA073"
"Other intestinal infection caused by protozoa";"DA078"
"Sarcocystosis";"DA078A"
"Trichomoniasis intestinalis";"DA078C"
"Intestinal Coccidiosis";"DA078D"
"Intestinal disease caused by protozoa UNS";"DA079"
"Intestinal infections caused by viruses and other organisms";"DA08"
"Enteritis caused by rotavirus";"DA080"
"Acute gastroenteritis caused by Norwalk virus";"DA081"
"Enteritis caused by adenovirus";"DA082"
"Enteritis caused by other virus";"DA083"
"Gastroenteritis caused by parvovirus";"DA083A"
"Intestinal infection caused by virus UNS";"DA084"
"Intestinal infection caused by other (micro)organism UNS";"DA085"
"Other gastroenteritis and colitis of infectious or unspecified cause";"DA09"
"Other and unspecified gastroenteritis and colitis of infectious origin";"DA090"
"Gastroenteritis or colitis of unspecified cause";"DA099"
"Tuberculosis [DA15-DA19]";""
"Tuberculosis of the respiratory tract verified bacteriologically and histologically";"DA15"
"Pulmonary tuberculosis verified by microscopy of sputum with or without culture";"DA150"
"Pulmonary tuberculosis verified by culture alone";"DA151"
"Pulmonary tuberculosis verified histologically";"DA152"
"Pulmonary tuberculosis verified by method not specified";"DA153"
"Tuberculosis in intrathoracic lymph nodes verified bacteriologically or histologically";"DA154"
"Tuberculosis of the larynx, trachea or bronchi verified bacteriologically or histologically";"DA155"
"Tuberculous pleurisy verified bacteriologically or histologically";"DA156"
"Primary tuberculosis of the respiratory tract verified bacteriologically or histologically";"DA157"
"Other tuberculosis of the respiratory system verified bacteriologically and histologically";"DA158"
"Tuberculosis in the mediastinum verified bacteriologically and histologically";"DA158A"
"Tuberculosis of the nose verified bacteriologically and histologically";"DA158B"
"Tuberculosis of the nasopharynx verified bacteriologically and histologically";"DA158C"
"Tuberculosis of the respiratory tract UNS, verified bacteriologically or histologically";"DA159"
"Tuberculosis of the respiratory tract not bacteriologically or histologically verified";"DA16"
"Pulmonary tuberculosis, bacteriological and histological negative findings";"DA160"
"Pulmonary tuberculosis, bacteriological and histological examination not performed";"DA161"
"Pulmonary tuberculosis without indication of bacteriological or histological verification";"DA162"
"Tuberculous pulmonary fibrosis UNS";"DA162A"
"Tuberculous pneumonia UNS";"DA162B"
"Tuberculous pneumothorax UNS";"DA162C"
"Tuberculosis of intrathoracic lymph nodes without indication of bacteriological or histological verification";"DA163"
"Tuberculosis of the larynx, trachea or bronchi without indication of bacteriological or histological verification";"DA164"
"Tuberculous pleurisy without indication of bacteriological or histological verification";"DA165"
"Primary tuberculosis of the respiratory tract without indication of bacteriological or histological verification";"DA167"
"Other tuberculosis of the respiratory system without indication of bacteriological or histological verification";"DA168"
"Tuberculosis of the mediastinum UNS";"DA168A"
"Tuberculosis of the nose UNS";"DA168B"
"Tuberculosis of the nasopharynx UNS";"DA168C"
"Tuberculosis of the respiratory tract UNS, without indication of bacteriological or histological verification";"DA169"
"Tuberculosis of the nervous system";"DA17"
"Tuberculous meningitis";"DA170"
"Tuberculoma of the meninges";"DA171"
"Other form of tuberculosis of the nervous system";"DA178"
"Tuberculosis of the nervous system UNS";"DA179"
"Tuberculosis in other organs";"DA18"
"Tuberculosis of bones and joints";"DA180"
"Tuberculosis of the urinary tract and genital organs";"DA181"
"Tuberculosis of peripheral lymph nodes";"DA182"
"Tuberculosis of the intestine, peritoneum and mesenteric lymph nodes";"DA183"
"Tuberculosis of retroperitoneal lymph nodes";"DA183F"
"Tuberculous ascites";"DA183G"
"Tuberculosis of mesenteric lymph nodes";"DA183H"
"Tuberculosis of the skin and subcutaneous tissue";"DA184"
"Lupus";"DA184A"
"Lupus excedens";"DA184B"
"Lupus vulgaris";"DA184C"
"Scrofuloderma";"DA184D"
"Tuberculosis lichenoides";"DA184F"
"Tuberculosis subcutis";"DA184G"
"Tuberculosis verrucosa cutis";"DA184H"
"Erythema induratum Bazin";"DA184I"
"Lichen scrofulosorum";"DA184J"
"Tuberculosis of the eye";"DA185"
"Tuberculosis in ear";"DA186"
"Tuberculosis of the adrenal gland";"DA187"
"Tuberculous Addison's disease";"DA187A"
"Tuberculosis in other organ";"DA188"
"Miliar tuberculosis";"DA19"
"Acute miliary tuberculosis with single specified location";"DA190"
"Acute miliary tuberculosis with multiple locations";"DA191"
"Acute miliary tuberculosis UNS";"DA192"
"Other miliary tuberculosis";"DA198"
"Miliary tuberculosis UNS";"DA199"
"Certain animal-borne bacterial diseases [DA20-DA28]";""
"Plague";"DA20"
"Bullish Plague";"DA200"
"Skin plague";"DA201"
"Pneumonic plague";"DA202"
"Meningitis caused by Yersenia pestis";"DA203"
"Sepsis plague";"DA207"
"Other form of plague";"DA208"
"Pest UNS";"DA209"
"Tularemia";"DA21"
"Ulceroglandular tularemia";"DA210"
"Oculoglandular tularemia";"DA211"
"Pulmonary tularemia";"DA212"
"Gastrointestinal tularemia";"DA213"
"Typhoid tularemia";"DA217"
"Other form of tularemia";"DA218"
"Tularemia UNS";"DA219"
"Anthrax";"DA22"
"Cutaneous anthrax";"DA220"
"Pulmonary anthrax";"DA221"
"Gastrointestinal anthrax";"DA222"
"Anthrax sepsis";"DA227"
"Anthrax, other";"DA228"
"Anthrax UNS";"DA229"
"Swing fever";"DA23"
"Brucellosis caused by Brucella melitensis";"DA230"
"Brucellosis caused by Brucella abortus";"DA231"
"Brucellosis caused by Brucella suis";"DA232"
"Brucellosis caused by Brucella canis";"DA233"
"Other brucellosis";"DA238"
"Brucellosis UNS";"DA239"
"Glanders and melioidosis";"DA24"
"Glanders";"DA240"
"Acute or fulminant melioidosis";"DA241"
"Subacute or chronic melioidosis";"DA242"
"Other form of melioidosis";"DA243"
