code,num_patients
DOB,1724
D/314529007,1724
D/160903007,1369
D/73595000,1368
D/160904001,1128
D/444814009,1109
D/422650009,979
D/423315002,955
GENDER//F,869
D/741062008,859
GENDER//M,855
D/162864005,837
D/224299000,816
D/195662009,796
D/706893006,787
D/10509002,693
D/15777000,690
D/424393004,641
D/59621000,635
D/271737000,620
D/73438004,534
D/160968000,447
D/5251000175109,423
D/266948004,392
D/82423001,376
D/237602007,339
D/40055000,333
D/274531002,330
D/414545008,328
D/72892002,302
D/19169002,288
D/10939881000119105,285
D/278860009,278
D/127013003,275
DOD,261
D/25675004,253
D/431855005,247
D/80583007,241
D/90781000119102,240
D/43878008,234
D/312608009,231
D/125605004,227
D/431856006,226
D/384709000,223
D/105531004,206
D/65363002,200
D/55822004,189
D/267020005,188
D/157141000119108,180
D/1121000119107,172
D/713458007,166
D/44465007,166
D/266934004,164
D/433144002,161
D/224295006,154
D/361055000,148
D/840544004,137
D/840539006,135
D/110030002,129
D/44054006,128
D/302870006,125
D/386661006,125
D/399261000,121
D/68496003,118
D/698306007,107
D/224355006,106
D/431857002,105
D/75498004,103
D/49727002,101
D/161665007,96
D/399211009,89
D/62106007,87
D/64859006,83
D/39898005,82
D/446654005,81
D/36971009,81
D/90460009,79
D/39848009,79
D/428251008,76
D/74400008,76
D/239873007,73
D/196416002,72
D/48333001,72
D/36955009,69
D/55680006,69
D/124171000119105,69
D/6525002,68
D/70704007,63
D/128613002,60
D/283385000,60
D/156073000,60
D/703151001,60
D/80394007,57
D/26929004,56
D/65966004,54
D/46177005,53
D/58150001,53
D/78275009,53
D/263102004,52
D/370247008,51
D/84229001,51
D/91302008,51
D/284549007,46
D/125601008,46
D/283371005,45
D/16114001,44
D/401314000,44
D/248595008,43
D/233604007,43
D/401303003,42
D/22298006,42
D/301011002,41
D/239872002,41
D/126906006,41
D/713197008,40
D/203082005,40
D/1871000124103,39
D/183996000,38
D/403190006,38
D/284551006,37
D/92691004,36
D/192127007,36
D/233678006,36
D/32911000,36
D/368581000119106,35
D/62564004,35
D/88805009,34
D/198992004,34
D/422034002,32
D/403191005,32
D/201834006,32
D/24079001,31
D/185086009,31
D/84757009,31
D/73430006,29
D/254837009,28
D/443165006,28
D/315268008,28
D/389087006,27
D/271825005,27
D/449868002,27
D/56018004,26
D/398254007,26
D/267036007,26
D/359817006,26
D/87433001,25
D/47693006,24
D/307731004,24
D/232353008,23
D/57676002,23
D/446096008,23
D/68962001,23
D/197927001,22
D/5602001,22
D/35999006,21
D/162573006,19
D/267102003,19
D/1551000119108,19
D/109838007,19
D/424132000,18
D/254637007,18
D/33737001,18
D/444448004,17
D/49436004,17
D/25064002,16
D/38822007,15
D/90560007,14
D/60573004,14
D/230265002,14
D/876882001,14
D/444470001,13
D/427419006,13
D/67782005,12
D/770349000,12
D/275272006,12
D/132281000119108,11
D/363406005,11
D/83664006,11
D/1231000119100,11
D/56786000,11
D/60234000,10
D/706870000,10
D/65710008,10
D/314994000,10
D/370143000,10
D/48724000,10
D/76571007,10
D/241929008,9
D/367498001,9
D/249497008,9
D/422587007,9
D/30832001,9
D/230690007,9
D/283545005,8
D/79586000,8
D/43724002,8
D/262574004,8
D/239720000,7
D/68235000,7
D/7200002,7
D/236077008,7
D/408512008,7
D/6072007,7
D/1501000119109,6
D/213150003,6
D/95417003,6
D/40275004,6
D/69896004,6
D/267060006,6
D/93761005,5
D/97331000119101,5
D/161679004,4
D/27942005,4
D/47505003,4
D/698754002,4
D/94260004,4
D/262521009,4
D/76916001,3
D/127295002,3
D/86406008,3
D/84114007,3
D/15724005,3
D/373587001,3
D/4557003,3
D/414667000,3
D/66857006,3
D/128188000,3
D/302297009,3
D/91434003,3
D/235595009,3
D/300916003,2
D/414564002,2
D/65275009,2
D/68566005,2
D/61977001,2
D/235919008,2
D/399912005,2
D/234466008,2
D/53827007,2
D/312157006,2
D/403192003,2
D/221360009,2
D/230745008,2
D/14760008,1
D/157265008,1
D/254632001,1
D/86175003,1
D/1734006,1
D/195967001,1
D/110359009,1
D/111287006,1
D/67811000119102,1
D/62718007,1
D/288959006,1
D/298382003,1
D/36923009,1
D/428915008,1
D/40095003,1
D/128302006,1
